@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R7-8-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute latency {0,1}

@data
36,8,32,30,70,7,1
8,24,18,22,84,28,1
61,24,29,20,120,40,1
28,10,27,30,80,8,1
19,22,6,2,27,3,0
20,11,4,28,44,11,1
81,28,26,2,84,14,0
74,23,15,29,60,6,1
12,28,1,11,120,40,1
96,23,26,18,72,8,1
25,18,17,24,42,6,1
89,26,23,3,72,9,0
31,22,28,11,60,10,0
29,15,14,32,105,21,1
73,26,11,3,87,29,0
80,14,28,11,35,5,1
62,6,18,18,40,4,1
55,18,21,25,36,12,1
41,10,22,22,60,15,1
74,21,17,16,116,29,1
30,27,7,5,120,30,1
36,13,17,22,70,10,1
5,32,6,22,77,11,1
76,9,24,26,81,27,1
19,30,27,7,104,13,1
60,16,18,12,104,13,1
6,22,3,18,77,11,1
44,8,13,26,102,34,1
16,2,30,25,40,4,1
42,14,24,10,91,13,1
21,26,3,1,70,7,0
11,22,9,23,63,9,1
45,28,7,22,36,12,1
35,19,20,1,36,4,0
92,5,30,17,30,6,1
12,12,6,32,48,6,1
22,32,9,21,32,8,1
39,16,25,12,90,18,1
32,17,1,32,117,39,1
29,32,14,13,78,13,1
4,22,11,11,105,15,1
90,3,6,8,60,6,1
13,26,10,20,48,16,1
38,13,18,11,99,11,1
90,5,31,26,90,9,1
29,26,15,5,48,6,0
44,5,6,18,30,5,1
55,7,34,13,91,13,1
92,35,10,19,88,11,1
16,15,4,20,90,15,1
6,18,18,31,120,40,1
19,21,14,6,116,29,1
40,25,12,3,66,11,0
87,32,29,16,56,8,1
19,9,28,12,63,7,1
51,28,7,16,49,7,1
75,29,11,14,63,7,1
50,13,35,27,110,11,1
86,32,12,21,50,10,1
59,25,10,6,80,8,1
88,26,18,29,104,13,1
25,24,19,24,99,11,1
86,4,23,25,116,29,1
43,7,9,16,78,13,1
59,23,32,20,40,5,1
90,9,10,17,104,13,1
19,31,21,24,102,34,1
6,31,24,4,45,9,0
77,25,19,19,66,11,1
24,8,35,19,117,39,1
8,17,21,30,75,25,1
79,33,24,28,70,10,1
36,9,22,27,87,29,1
27,20,11,1,42,7,0
11,30,8,13,45,9,1
48,14,12,13,66,11,1
44,35,32,28,45,5,1
23,9,33,15,90,9,1
28,22,20,4,88,11,0
60,19,14,5,110,11,1
33,5,5,16,33,11,1
