@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.Remove-R15-17-weka.filters.unsupervised.attribute.Remove-R2-4,6-9'

@attribute onBoltRate numeric
@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric

@data
207863,36,8,32,30,70,7
49153,8,24,18,22,84,28
223995,61,24,29,20,120,40
196153,28,10,27,30,80,8
157577,19,22,6,2,27,3
54588,20,11,4,28,44,11
131443,81,28,26,2,84,14
214142,74,23,15,29,60,6
23530,12,28,1,11,120,40
187107,96,23,26,18,72,8
229967,25,18,17,24,42,6
137268,89,26,23,3,72,9
258995,31,22,28,11,60,10
109280,29,15,14,32,105,21
141189,73,26,11,3,87,29
219659,80,14,28,11,35,5
207152,62,6,18,18,40,4
257688,55,18,21,25,36,12
246203,41,10,22,22,60,15
183726,74,21,17,16,116,29
95607,30,27,7,5,120,30
180216,36,13,17,22,70,10
1118,5,32,6,22,77,11
215010,76,9,24,26,81,27
119651,19,30,27,7,104,13
155003,60,16,18,12,104,13
19860,6,22,3,18,77,11
59981,44,8,13,26,102,34
160895,16,2,30,25,40,4
160310,42,14,24,10,91,13
61455,21,26,3,1,70,7
69220,11,22,9,23,63,9
235400,45,28,7,22,36,12
89396,35,19,20,1,36,4
184100,92,5,30,17,30,6
68249,12,12,6,32,48,6
204432,22,32,9,21,32,8
229437,39,16,25,12,90,18
12432,32,17,1,32,117,39
156757,29,32,14,13,78,13
139,4,22,11,11,105,15
127215,90,3,6,8,60,6
158071,13,26,10,20,48,16
148530,38,13,18,11,99,11
169423,90,5,31,26,90,9
237485,29,26,15,5,48,6
170855,44,5,6,18,30,5
232563,55,7,34,13,91,13
146773,92,35,10,19,88,11
43407,16,15,4,20,90,15
3527,6,18,18,31,120,40
127253,19,21,14,6,116,29
162093,40,25,12,3,66,11
209350,87,32,29,16,56,8
178547,19,9,28,12,63,7
213394,51,28,7,16,49,7
184557,75,29,11,14,63,7
212052,50,13,35,27,110,11
192898,86,32,12,21,50,10
132144,59,25,10,6,80,8
175363,88,26,18,29,104,13
142168,25,24,19,24,99,11
173381,86,4,23,25,116,29
168239,43,7,9,16,78,13
250201,59,23,32,20,40,5
152099,90,9,10,17,104,13
110158,19,31,21,24,102,34
119748,6,31,24,4,45,9
205415,77,25,19,19,66,11
152969,24,8,35,19,117,39
53009,8,17,21,30,75,25
210925,79,33,24,28,70,10
221534,36,9,22,27,87,29
95983,27,20,11,1,42,7
138324,11,30,8,13,45,9
221325,48,14,12,13,66,11
250589,44,35,32,28,45,5
165635,23,9,33,15,90,9
181598,28,22,20,4,88,11
112000,60,19,14,5,110,11
238782,33,5,5,16,33,11
141804,60,4,11,3,114,19
185934,87,15,4,21,42,6
81432,18,9,11,14,80,8
186821,40,4,23,28,91,13
618,4,23,27,23,84,28
233763,70,22,18,32,35,7
205370,90,29,34,6,84,14
206602,85,25,35,22,102,17
207482,74,14,30,5,110,22
217562,80,33,14,8,66,22
88256,81,31,7,10,110,11
237502,56,34,22,24,72,12
79986,19,31,22,23,112,16
216280,80,23,12,27,40,8
206538,88,12,30,9,66,22
232063,55,34,32,22,84,12
205417,26,10,10,28,35,7
110025,79,16,4,13,78,13
173053,42,10,8,4,32,4
54823,8,5,18,11,70,7
201514,82,30,23,30,114,19
70085,23,5,27,31,100,10
199864,94,15,23,9,60,12
196100,90,27,14,6,54,6
177195,63,28,10,21,90,10
110842,14,16,28,21,72,8
138098,22,23,18,20,98,14
200258,23,12,23,23,96,24
213513,55,19,11,16,54,6
60667,8,27,23,15,84,14
258375,27,25,20,7,36,4
177322,90,6,5,32,24,3
129157,7,12,29,2,27,3
273883,23,33,28,10,30,10
169072,78,8,13,3,69,23
148210,66,14,9,6,108,18
43760,6,28,23,7,105,15
242500,41,26,32,29,64,8
212314,68,10,6,12,36,4
208196,86,34,7,32,48,16
169037,92,28,21,21,80,8
193236,12,22,29,3,45,15
220488,29,11,16,18,54,9
141045,10,14,23,16,42,7
199204,51,15,24,10,104,13
211892,86,30,18,27,36,4
120305,18,13,10,2,63,7
53452,6,12,15,10,72,8
80797,31,33,5,8,90,9
199860,82,33,16,17,36,4
243824,57,32,6,16,30,10
47595,7,4,32,26,40,4
242643,56,10,16,21,27,3
211961,82,7,28,12,72,9
146464,7,18,15,6,30,5
233453,23,5,24,25,27,3
165160,95,7,26,21,120,15
223912,24,9,30,29,40,4
173638,96,15,25,24,120,24
83345,9,21,30,8,87,29
189544,55,16,19,10,90,10
188154,87,17,17,28,36,12
168438,27,16,15,13,75,15
191201,51,30,24,14,112,16
94240,22,33,31,9,112,14
58500,8,4,12,18,54,6
40565,19,20,4,25,72,9
200552,78,11,28,6,77,11
203311,68,17,31,23,120,20
169791,87,25,20,21,63,9
95772,76,22,4,23,56,8
71316,11,33,11,29,114,19
101218,43,27,10,8,96,16
86176,88,32,4,3,90,10
38763,9,13,24,31,77,11
100829,11,29,34,15,60,6
61088,6,19,7,10,45,5
250323,39,17,33,29,72,24
213754,36,7,28,12,90,10
184104,92,8,23,21,54,9
265122,46,20,34,9,56,14
161907,28,15,33,30,84,14
46637,9,35,12,15,105,21
38153,10,20,27,25,99,11
235383,43,10,25,28,75,15
201476,19,7,27,28,36,4
205680,60,5,17,11,72,8
163047,80,17,9,24,56,7
191272,89,18,13,21,32,8
219540,68,23,29,21,100,20
165534,95,6,11,7,88,11
191307,53,15,9,21,78,13
130146,89,13,4,2,44,11
164815,14,33,19,2,40,10
185093,17,4,27,25,42,14
229346,68,21,29,14,105,21
205284,90,27,17,14,45,5
149635,44,16,16,13,80,8
220403,67,20,29,13,114,19
89612,64,5,26,1,66,11
194309,50,32,10,32,72,8
181726,88,4,19,16,77,11
173675,29,11,14,24,78,26
146965,76,14,7,7,91,13
244931,54,10,21,21,49,7
121581,13,17,28,8,63,9
204693,39,5,21,12,90,9
91584,15,5,29,23,114,19
208836,60,25,35,19,110,11
178444,39,16,21,6,98,14
218603,66,17,14,24,90,30
267462,40,31,33,18,52,13
235523,53,10,25,6,64,8
203518,96,34,22,9,49,7
247498,31,22,13,16,35,5
210275,32,13,11,25,36,4
47943,7,20,19,7,105,15
199370,94,17,21,12,32,8
134838,13,10,23,5,70,10
144286,26,25,34,23,96,32
32982,11,33,15,11,99,11
10366,16,25,6,21,112,28
108035,14,29,12,10,84,12
184158,91,8,12,25,30,6
87214,35,7,9,23,100,20
227482,47,12,22,4,40,5
91377,9,23,6,12,48,8
35173,11,6,12,22,104,26
92119,8,31,13,1,30,3
234747,63,13,23,20,39,13
242134,27,16,20,11,56,8
76858,13,35,7,2,87,29
98564,70,8,8,3,81,9
167830,62,35,12,23,63,9
207249,41,35,12,19,45,5
259482,45,21,27,8,48,12
171961,69,9,34,3,63,9
193951,91,29,14,31,66,11
204649,47,11,13,15,77,11
79494,20,17,8,15,105,21
222691,26,21,31,27,45,5
182750,56,19,15,20,120,30
224191,73,32,14,32,48,12
226197,29,20,27,7,70,7
46248,11,9,6,25,78,13
133013,31,25,9,9,111,37
250607,57,25,31,27,35,7
244141,44,13,20,26,50,5
204457,77,9,35,7,110,11
230579,35,19,20,30,78,26
44120,22,17,6,18,100,10
189551,96,22,21,7,93,31
256574,51,27,35,30,51,17
227456,33,34,34,11,102,34
117831,24,35,9,8,63,9
6168,7,28,6,25,80,10
221959,54,32,10,28,48,12
196455,36,11,23,3,42,7
199313,92,7,34,10,36,6
244795,44,33,33,7,45,5
170298,91,10,25,22,110,11
61910,8,13,21,15,70,10
186608,48,22,31,4,88,11
197353,85,9,30,26,49,7
214778,29,35,29,10,91,13
172558,91,16,28,29,110,11
149394,96,16,17,3,30,5
73857,26,30,4,2,72,12
148428,86,29,17,12,108,36
232651,38,26,33,30,64,8
119506,16,21,34,5,80,8
247706,62,23,26,25,45,9
193607,47,17,8,14,54,6
176553,95,23,11,20,45,9
189742,89,8,34,28,28,7
199180,86,26,33,26,81,9
61183,9,5,13,19,64,8
85250,21,16,22,24,114,38
172178,42,17,15,20,92,23
