% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data

234118,104796,236659,4,40,160,25,4,2,8,16,4,30,10,77,18123,328
44048,18305,44210,4,40,160,25,4,2,8,16,4,30,10,17,19056,295
80002,33449,80202,4,40,160,25,4,2,8,16,4,30,10,29,18777,197
109947,47320,110089,4,40,160,25,4,2,8,16,4,30,10,38,19331,142
133694,56654,133769,4,40,160,25,4,2,8,16,4,30,10,46,19768,117
100919,42699,101424,4,40,160,4,4,2,5,15,7,30,10,46,9814,2011
5156,2239,5148,4,40,160,4,4,2,5,15,7,30,10,1,9443,1988
10055,4386,10052,4,40,160,4,4,2,5,15,7,30,10,3,9427,576
14799,6466,14771,4,40,160,4,4,2,5,15,7,30,10,4,9522,520
21107,9187,21105,4,40,160,4,4,2,5,15,7,30,10,6,9657,482
225696,94018,228222,4,40,160,28,4,2,4,23,5,30,10,79,18913,575
53846,23096,53985,4,40,160,28,4,2,4,23,5,30,10,21,20781,520
94412,40533,94587,4,40,160,28,4,2,4,23,5,30,10,34,20912,248
129813,55608,130011,4,40,160,28,4,2,4,23,5,30,10,44,21548,184
155659,67316,156246,4,40,160,28,4,2,4,23,5,30,10,51,22182,217
218858,93583,219459,4,40,160,9,4,2,8,18,12,30,10,70,12273,1609
61183,26522,61148,4,40,160,9,4,2,8,18,12,30,10,19,11985,1339
116385,50679,116595,4,40,160,9,4,2,8,18,12,30,10,29,12341,544
147704,64216,148179,4,40,160,9,4,2,8,18,12,30,10,37,12441,969
156286,67335,156607,4,40,160,9,4,2,8,18,12,30,10,39,12465,1438
37149,15628,37559,4,40,160,4,4,2,6,23,22,30,10,36,9798,5787
16739,7238,16642,4,40,160,4,4,2,6,23,22,30,10,15,9797,5912
1749,716,1725,4,40,160,4,4,2,6,23,22,30,10,1,9682,1557
591,235,603,4,40,160,4,4,2,6,23,22,30,10,0,9647,828
992,406,982,4,40,160,4,4,2,6,23,22,30,10,1,9532,872
216857,94814,219363,4,40,160,16,4,2,6,10,11,30,10,72,15268,1588
57315,25522,57266,4,40,160,16,4,2,6,10,11,30,10,20,15406,1343
106045,46280,106247,4,40,160,16,4,2,6,10,11,30,10,30,15768,540
144692,63939,145180,4,40,160,16,4,2,6,10,11,30,10,39,16111,595
168073,73364,168450,4,40,160,16,4,2,6,10,11,30,10,43,16255,887
24659,10435,24285,4,40,160,4,4,2,9,9,20,30,10,31,9891,25664
4302,2010,3846,4,40,160,4,4,2,9,9,20,30,10,2,9612,23980
7338,3152,7337,4,40,160,4,4,2,9,9,20,30,10,2,9513,1511
10801,4640,10797,4,40,160,4,4,2,9,9,20,30,10,4,9705,714
10943,4692,10956,4,40,160,4,4,2,9,9,20,30,10,4,9677,655
235068,103178,237342,4,40,160,25,4,2,8,16,4,30,10,76,18237,330
52663,21827,52696,4,40,160,25,4,2,8,16,4,30,10,20,19096,292
94444,39255,94631,4,40,160,25,4,2,8,16,4,30,10,34,19193,184
124565,51885,124780,4,40,160,25,4,2,8,16,4,30,10,43,19543,162
148439,62444,148858,4,40,160,25,4,2,8,16,4,30,10,50,19813,163
148943,62922,149306,4,40,160,5,4,2,10,10,7,30,10,52,9948,1190
25905,11382,25916,4,40,160,5,4,2,10,10,7,30,10,7,9623,1102
49526,21804,49638,4,40,160,5,4,2,10,10,7,30,10,12,9824,396
71169,31411,71176,4,40,160,5,4,2,10,10,7,30,10,15,9948,469
77532,33790,77778,4,40,160,5,4,2,10,10,7,30,10,16,9958,820
178761,76700,180445,4,40,160,11,4,2,18,19,18,30,10,64,13405,3431
36836,15900,36736,4,40,160,11,4,2,18,19,18,30,10,13,13067,2946
70106,29982,70412,4,40,160,11,4,2,18,19,18,30,10,21,13193,643
102268,43778,102906,4,40,160,11,4,2,18,19,18,30,10,27,13561,609
130718,56177,131626,4,40,160,11,4,2,18,19,18,30,10,34,13671,640
150817,64042,155328,4,40,160,43,4,2,23,17,14,30,10,82,21846,2514
38380,16882,38312,4,40,160,43,4,2,23,17,14,30,10,20,25097,2178
72674,31683,72954,4,40,160,43,4,2,23,17,14,30,10,34,24641,613
104162,45274,104658,4,40,160,43,4,2,23,17,14,30,10,45,25132,477
135318,59735,136193,4,40,160,43,4,2,23,17,14,30,10,56,26587,389
199791,86148,202801,4,40,160,33,4,2,15,21,9,30,10,83,20220,1156
51985,22505,52027,4,40,160,33,4,2,15,21,9,30,10,22,22380,1019
91050,39617,91555,4,40,160,33,4,2,15,21,9,30,10,36,22519,445
126879,55177,127711,4,40,160,33,4,2,15,21,9,30,10,48,23341,360
152610,67247,153882,4,40,160,33,4,2,15,21,9,30,10,56,24121,314
228850,98269,230576,4,40,160,28,4,2,8,14,6,30,10,79,19081,610
49745,21693,49677,4,40,160,28,4,2,8,14,6,30,10,20,20373,534
93024,41119,93264,4,40,160,28,4,2,8,14,6,30,10,35,20248,308
127505,55875,127926,4,40,160,28,4,2,8,14,6,30,10,45,20758,238
155048,68627,155472,4,40,160,28,4,2,8,14,6,30,10,53,21112,209
137871,55589,138905,4,40,160,45,4,2,6,7,9,30,10,79,22570,1931
35370,14528,34700,4,40,160,45,4,2,6,7,9,30,10,16,24971,1675
