% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data

234118,104796,236659,4,40,160,25,4,2,8,16,4,30,10,77,18123,328
100919,42699,101424,4,40,160,4,4,2,5,15,7,30,10,46,9814,2011
225696,94018,228222,4,40,160,28,4,2,4,23,5,30,10,79,18913,575
218858,93583,219459,4,40,160,9,4,2,8,18,12,30,10,70,12273,1609
37149,15628,37559,4,40,160,4,4,2,6,23,22,30,10,36,9798,5787
216857,94814,219363,4,40,160,16,4,2,6,10,11,30,10,72,15268,1588
24659,10435,24285,4,40,160,4,4,2,9,9,20,30,10,31,9891,25664
235068,103178,237342,4,40,160,25,4,2,8,16,4,30,10,76,18237,330
148943,62922,149306,4,40,160,5,4,2,10,10,7,30,10,52,9948,1190
178761,76700,180445,4,40,160,11,4,2,18,19,18,30,10,64,13405,3431
150817,64042,155328,4,40,160,43,4,2,23,17,14,30,10,82,21846,2514
199791,86148,202801,4,40,160,33,4,2,15,21,9,30,10,83,20220,1156
228850,98269,230576,4,40,160,28,4,2,8,14,6,30,10,79,19081,610
137871,55589,138905,4,40,160,45,4,2,6,7,9,30,10,79,22570,1931
60002,25626,59869,4,40,160,5,4,2,19,15,19,30,10,34,10009,10219
159372,62901,161442,4,40,160,16,4,2,8,5,14,30,10,65,14726,3406
237957,103915,240423,4,40,160,14,4,2,19,8,5,30,10,71,13952,546
150070,55776,152481,4,40,160,47,4,2,20,8,18,30,10,87,23394,3572
201046,89778,205337,4,40,160,30,4,2,15,18,6,30,10,76,18566,672
168900,72222,170936,4,40,160,41,4,2,17,16,8,30,10,81,21817,1300
187667,79346,191309,4,40,160,26,4,2,11,22,18,30,10,81,19111,2954
190828,81931,194018,4,40,160,21,4,2,12,13,23,30,10,79,17599,4053
158518,65759,160678,4,40,160,39,4,2,19,19,14,30,10,84,21865,2766
161283,67494,163636,4,40,160,31,4,2,11,17,21,30,10,81,20634,4209
98438,41085,100408,4,40,160,7,4,2,9,11,20,30,10,46,11467,6267
181231,78788,183130,4,40,160,42,4,2,18,18,7,30,10,82,22111,936
168867,70207,169786,4,40,160,43,4,2,11,15,5,30,10,79,20942,627
176809,75350,179412,4,40,160,37,4,2,14,14,10,30,10,82,21232,1635
181913,78575,183902,4,40,160,43,4,2,14,11,4,30,10,81,20936,379
198942,84440,202298,4,40,160,27,4,2,5,22,17,30,10,82,19769,2629
213915,88778,215956,4,40,160,16,4,2,22,10,9,30,10,71,15554,1260
174329,73428,176216,4,40,160,37,4,2,22,19,13,30,10,84,21963,2178
160590,67438,163177,4,40,160,42,4,2,18,17,14,30,10,85,22297,2605
222440,93587,225103,4,40,160,13,4,2,16,13,12,30,10,70,14360,1527
197049,83653,199070,4,40,160,33,4,2,17,6,6,30,10,80,19338,851
162967,68858,165422,4,40,160,45,4,2,9,19,5,30,10,77,21305,633
185785,78568,188885,4,40,160,35,4,2,22,14,10,30,10,82,20245,1463
120679,49783,122305,4,40,160,48,4,2,22,23,22,30,10,87,24190,4987
190730,77735,194487,4,40,160,30,4,2,9,6,11,30,10,81,19033,1805
134160,52530,137978,4,40,160,48,4,2,7,22,16,30,10,84,24203,3341
218287,92536,220491,4,40,160,8,4,2,22,22,4,30,10,62,11816,445
128550,52219,130731,4,40,160,49,4,2,11,12,15,30,10,84,24400,3557
165381,70169,169608,4,40,160,38,4,2,9,17,19,30,10,85,22402,3254
116714,47910,118356,4,40,160,44,4,2,19,21,23,30,10,82,23275,6162
132181,53392,134067,4,40,160,39,4,2,21,8,23,30,10,81,21899,4913
169973,69481,172171,4,40,160,43,4,2,10,16,7,30,10,82,21816,990
162300,69054,166838,4,40,160,36,4,2,16,16,14,30,10,82,20831,2455
149257,58788,151876,4,40,160,33,4,2,23,7,22,30,10,82,20164,4763
169178,68491,171480,4,40,160,29,4,2,20,9,18,30,10,79,19294,3632
188904,79226,190015,4,40,160,21,4,2,21,19,16,30,10,76,17935,2743
244137,104934,246650,4,40,160,15,4,2,9,21,7,30,10,71,15153,773
143026,55013,146843,4,40,160,47,4,2,21,11,17,30,10,84,22962,4103
223503,94051,225300,4,40,160,23,4,2,17,10,7,30,10,76,17551,809
121255,51873,122088,4,40,160,6,4,2,15,18,14,30,10,50,11033,3962
195187,70059,195563,4,40,160,22,4,2,8,5,17,30,10,76,17559,3660
201657,86484,204717,4,40,160,31,4,2,14,19,7,30,10,79,19530,873
210584,92609,213751,4,40,160,18,4,2,6,10,19,30,10,77,16499,2715
211455,89430,213199,4,40,160,25,4,2,15,22,17,30,10,82,19424,2458
231156,98229,232870,4,40,160,14,4,2,13,14,13,30,10,72,14923,1654
131037,55705,135267,4,40,160,51,4,2,22,18,12,30,10,82,23468,2599
157112,65174,161608,4,40,160,40,4,2,6,11,16,30,10,83,22594,2955
209753,86826,212676,4,40,160,12,4,2,4,19,16,30,10,68,13986,2442
155739,64511,157151,4,40,160,44,4,2,11,16,7,30,10,81,22351,1234
108664,46205,109884,4,40,160,11,4,2,7,5,11,30,10,45,13114,1826
181467,76919,183433,4,40,160,33,4,2,13,12,18,30,10,84,21274,2977
153451,63725,155206,4,40,160,35,4,2,11,7,23,30,10,81,21291,4643
