@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R1-6,8-9,15-16-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<2000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<2000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute latency {0,1}

@data
25,8,16,4,30,10,0
4,5,15,7,30,10,1
28,4,23,5,30,10,0
9,8,18,12,30,10,0
4,6,23,22,30,10,1
16,6,10,11,30,10,0
4,9,9,20,30,10,1
25,8,16,4,30,10,0
5,10,10,7,30,10,0
11,18,19,18,30,10,1
43,23,17,14,30,10,1
33,15,21,9,30,10,0
28,8,14,6,30,10,0
45,6,7,9,30,10,0
5,19,15,19,30,10,1
16,8,5,14,30,10,1
14,19,8,5,30,10,0
47,20,8,18,30,10,1
30,15,18,6,30,10,0
41,17,16,8,30,10,0
26,11,22,18,30,10,1
21,12,13,23,30,10,1
39,19,19,14,30,10,1
31,11,17,21,30,10,1
7,9,11,20,30,10,1
42,18,18,7,30,10,0
43,11,15,5,30,10,0
37,14,14,10,30,10,0
43,14,11,4,30,10,0
27,5,22,17,30,10,1
16,22,10,9,30,10,0
37,22,19,13,30,10,1
42,18,17,14,30,10,1
13,16,13,12,30,10,0
33,17,6,6,30,10,0
45,9,19,5,30,10,0
35,22,14,10,30,10,0
48,22,23,22,30,10,1
30,9,6,11,30,10,0
48,7,22,16,30,10,1
8,22,22,4,30,10,0
49,11,12,15,30,10,1
38,9,17,19,30,10,1
44,19,21,23,30,10,1
39,21,8,23,30,10,1
43,10,16,7,30,10,0
36,16,16,14,30,10,1
33,23,7,22,30,10,1
29,20,9,18,30,10,1
21,21,19,16,30,10,1
15,9,21,7,30,10,0
47,21,11,17,30,10,1
23,17,10,7,30,10,0
6,15,18,14,30,10,1
22,8,5,17,30,10,1
31,14,19,7,30,10,0
18,6,10,19,30,10,1
25,15,22,17,30,10,1
14,13,14,13,30,10,0
51,22,18,12,30,10,1
40,6,11,16,30,10,1
12,4,19,16,30,10,1
44,11,16,7,30,10,0
11,7,5,11,30,10,0
33,13,12,18,30,10,1
35,11,7,23,30,10,1
16,16,17,22,30,10,1
37,19,14,5,30,10,0
17,7,15,10,30,10,0
5,17,8,22,30,10,1
25,23,22,7,30,10,0
48,16,12,20,30,10,1
51,8,14,8,30,10,0
19,16,23,19,30,10,1
53,21,15,19,30,10,1
7,4,4,10,30,10,1
9,20,17,15,30,10,1
6,6,17,4,30,10,0
6,12,10,12,30,10,1
22,18,7,5,30,10,0
18,13,14,12,30,10,0
22,10,12,16,30,10,1
23,6,7,19,30,10,1
44,9,7,17,30,10,1
50,16,7,16,30,10,1
48,7,21,10,30,10,0
15,17,13,6,30,10,0
42,4,18,16,30,10,1
45,15,7,5,30,10,0
50,20,21,23,30,10,1
48,8,10,14,30,10,1
18,14,6,21,30,10,1
44,17,16,13,30,10,1
42,22,20,19,30,10,1
49,18,19,5,30,10,0
23,19,11,11,30,10,0
39,4,8,23,30,10,1
31,18,13,6,30,10,0
32,21,4,5,30,10,0
46,16,14,18,30,10,1
48,11,19,7,30,10,0
21,10,12,23,30,10,1
24,15,10,5,30,10,0
30,22,22,5,30,10,0
4,7,10,23,30,10,1
30,11,4,22,30,10,1
40,9,5,18,30,10,1
27,20,21,10,30,10,0
8,18,15,23,30,10,1
41,6,15,14,30,10,1
10,20,23,20,30,10,1
39,19,12,21,30,10,1
47,17,12,12,30,10,1
44,14,21,13,30,10,1
52,17,4,11,30,10,1
4,13,10,17,30,10,1
28,9,18,21,30,10,1
19,8,12,11,30,10,0
40,19,10,16,30,10,1
53,23,13,11,30,10,1
28,13,19,9,30,10,0
41,15,20,17,30,10,1
10,10,17,16,30,10,1
17,21,5,5,30,10,0
23,11,21,22,30,10,1
53,17,15,8,30,10,0
39,5,12,19,30,10,1
50,6,6,18,30,10,1
6,21,10,20,30,10,1
25,13,6,23,30,10,1
14,20,4,9,30,10,0
23,6,20,21,30,10,1
44,13,6,22,30,10,1
9,5,12,19,30,10,1
10,9,12,14,30,10,1
7,6,6,20,30,10,1
20,4,8,8,30,10,0
25,18,7,14,30,10,1
20,15,19,22,30,10,1
16,19,10,19,30,10,1
28,9,14,20,30,10,1
47,18,21,13,30,10,1
20,21,4,6,30,10,0
4,19,16,4,30,10,0
26,21,11,14,30,10,1
52,12,12,6,30,10,0
42,21,23,6,30,10,0
