@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R2-6,8-9,15-17'

@attribute onBoltRate numeric
@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric

@data
234118,25,8,16,4,30,10
100919,4,5,15,7,30,10
225696,28,4,23,5,30,10
218858,9,8,18,12,30,10
37149,4,6,23,22,30,10
216857,16,6,10,11,30,10
24659,4,9,9,20,30,10
235068,25,8,16,4,30,10
148943,5,10,10,7,30,10
178761,11,18,19,18,30,10
150817,43,23,17,14,30,10
199791,33,15,21,9,30,10
228850,28,8,14,6,30,10
137871,45,6,7,9,30,10
60002,5,19,15,19,30,10
159372,16,8,5,14,30,10
237957,14,19,8,5,30,10
150070,47,20,8,18,30,10
201046,30,15,18,6,30,10
168900,41,17,16,8,30,10
187667,26,11,22,18,30,10
190828,21,12,13,23,30,10
158518,39,19,19,14,30,10
161283,31,11,17,21,30,10
98438,7,9,11,20,30,10
181231,42,18,18,7,30,10
168867,43,11,15,5,30,10
176809,37,14,14,10,30,10
181913,43,14,11,4,30,10
198942,27,5,22,17,30,10
213915,16,22,10,9,30,10
174329,37,22,19,13,30,10
160590,42,18,17,14,30,10
222440,13,16,13,12,30,10
197049,33,17,6,6,30,10
162967,45,9,19,5,30,10
185785,35,22,14,10,30,10
120679,48,22,23,22,30,10
190730,30,9,6,11,30,10
134160,48,7,22,16,30,10
218287,8,22,22,4,30,10
128550,49,11,12,15,30,10
165381,38,9,17,19,30,10
116714,44,19,21,23,30,10
132181,39,21,8,23,30,10
169973,43,10,16,7,30,10
162300,36,16,16,14,30,10
149257,33,23,7,22,30,10
169178,29,20,9,18,30,10
188904,21,21,19,16,30,10
244137,15,9,21,7,30,10
143026,47,21,11,17,30,10
223503,23,17,10,7,30,10
121255,6,15,18,14,30,10
195187,22,8,5,17,30,10
201657,31,14,19,7,30,10
210584,18,6,10,19,30,10
211455,25,15,22,17,30,10
231156,14,13,14,13,30,10
131037,51,22,18,12,30,10
157112,40,6,11,16,30,10
209753,12,4,19,16,30,10
155739,44,11,16,7,30,10
108664,11,7,5,11,30,10
181467,33,13,12,18,30,10
153451,35,11,7,23,30,10
194886,16,16,17,22,30,10
192923,37,19,14,5,30,10
236239,17,7,15,10,30,10
39089,5,17,8,22,30,10
224154,25,23,22,7,30,10
143634,48,16,12,20,30,10
145162,51,8,14,8,30,10
206191,19,16,23,19,30,10
127329,53,21,15,19,30,10
84194,7,4,4,10,30,10
197256,9,20,17,15,30,10
182666,6,6,17,4,30,10
122827,6,12,10,12,30,10
227194,22,18,7,5,30,10
226118,18,13,14,12,30,10
216550,22,10,12,16,30,10
199227,23,6,7,19,30,10
143274,44,9,7,17,30,10
121131,50,16,7,16,30,10
150373,48,7,21,10,30,10
226086,15,17,13,6,30,10
152897,42,4,18,16,30,10
155145,45,15,7,5,30,10
112125,50,20,21,23,30,10
140076,48,8,10,14,30,10
175396,18,14,6,21,30,10
148516,44,17,16,13,30,10
148093,42,22,20,19,30,10
159253,49,18,19,5,30,10
215858,23,19,11,11,30,10
144609,39,4,8,23,30,10
201274,31,18,13,6,30,10
179811,32,21,4,5,30,10
139409,46,16,14,18,30,10
153105,48,11,19,7,30,10
177891,21,10,12,23,30,10
216504,24,15,10,5,30,10
212345,30,22,22,5,30,10
11373,4,7,10,23,30,10
145896,30,11,4,22,30,10
156041,40,9,5,18,30,10
216900,27,20,21,10,30,10
129975,8,18,15,23,30,10
155356,41,6,15,14,30,10
180275,10,20,23,20,30,10
132583,39,19,12,21,30,10
142947,47,17,12,12,30,10
125106,44,14,21,13,30,10
125015,52,17,4,11,30,10
38706,4,13,10,17,30,10
