% ARFF file
@relation stormSample

@attribute dataRate numeric
@attribute supervisors numeric
@attribute cpucores numeric
@attribute memory numeric
@attribute workers numeric
@attribute spouts numeric
@attribute bolts numeric
@attribute cpu_used numeric
@attribute memory_used numeric

@data

3544,3,4,4,3,25,14,8,789
1439,3,4,4,3,25,14,2,862
2618,3,4,4,3,25,14,15,929
6826,3,4,4,3,25,14,18,977
3666,3,4,4,3,25,14,20,1011
891,3,4,4,11,5,27,6,1660
35062,3,4,4,11,5,27,75,2092
3150,3,4,4,11,5,27,11,2106
14431,3,4,4,11,5,27,33,2113
36509,3,4,4,11,5,27,78,2191
3736,3,4,4,3,25,14,8,1374
1728,3,4,4,3,25,14,4,1413
2971,3,4,4,3,25,14,8,1465
7819,3,4,4,3,25,14,16,1536
4342,3,4,4,3,25,14,10,1564
3782,3,4,4,3,26,14,7,852
5189,3,4,4,3,26,14,13,1007
4425,3,4,4,3,26,14,7,1010
3978,3,4,4,3,26,14,8,1017
4020,3,4,4,3,26,14,12,1062
4029,3,4,4,6,31,15,12,1165
10533,3,4,4,6,31,15,21,1326
1841,3,4,4,6,31,15,3,1358
12216,3,4,4,6,31,15,14,1402
3771,3,4,4,6,31,15,8,1434
1619,3,4,4,7,16,9,6,1129
4551,3,4,4,7,16,9,15,1331
4657,3,4,4,7,16,9,12,1358
10484,3,4,4,7,16,9,23,1371
6230,3,4,4,7,16,9,14,1420
2205,3,4,4,5,11,13,11,1719
34285,3,4,4,5,11,13,69,1935
11613,3,4,4,5,11,13,33,2218
23192,3,4,4,5,11,13,33,2237
8758,3,4,4,5,11,13,18,2289
3770,3,4,4,3,31,32,10,813
1503,3,4,4,3,31,32,3,857
2532,3,4,4,3,31,32,5,896
5749,3,4,4,3,31,32,17,998
2418,3,4,4,3,31,32,10,1109
3712,3,4,4,3,25,17,9,1350
4151,3,4,4,3,25,17,7,1374
3417,3,4,4,3,25,17,5,1426
9592,3,4,4,3,25,17,12,1469
7202,3,4,4,3,25,17,23,1533
1815,3,4,4,8,10,25,7,1612
4031,3,4,4,8,10,25,11,1416
27862,3,4,4,8,10,25,55,1912
19924,3,4,4,8,10,25,40,2044
12426,3,4,4,8,10,25,37,2085
903,3,4,4,8,10,25,4,1036
2066,3,4,4,8,10,25,7,858
14970,3,4,4,8,10,25,34,1273
10295,3,4,4,8,10,25,24,1349
6460,3,4,4,8,10,25,12,1407
1147,3,4,4,7,7,10,12,1742
27474,3,4,4,7,7,10,40,2215
24919,3,4,4,7,7,10,48,2471
2038,3,4,4,7,7,10,14,2462
31595,3,4,4,7,7,10,49,2479
4019,3,4,4,6,31,15,12,1274
10542,3,4,4,6,31,15,21,1401
1838,3,4,4,6,31,15,5,1433
12125,3,4,4,6,31,15,18,1466
3836,3,4,4,6,31,15,10,1531
1681,3,4,4,7,10,7,4,1087
10038,3,4,4,7,10,7,17,1311
13845,3,4,4,7,10,7,20,1426
18407,3,4,4,7,10,7,32,1473
5758,3,4,4,7,10,7,14,1481
3455,3,4,4,3,24,20,7,801
10352,3,4,4,3,24,20,19,942
3394,3,4,4,3,24,20,24,1024
10681,3,4,4,3,24,20,17,1006
3340,3,4,4,3,24,20,6,992
4166,3,4,4,11,31,28,19,2373
3163,3,4,4,11,31,28,14,2737
4289,3,4,4,11,31,28,14,2775
18512,3,4,4,11,31,28,70,3098
7034,3,4,4,11,31,28,66,3844
870,3,4,4,3,7,21,2,754
16941,3,4,4,3,7,21,25,966
10060,3,4,4,3,7,21,20,1008
10146,3,4,4,3,7,21,19,1010
12201,3,4,4,3,7,21,21,1059
3511,3,4,4,3,25,17,7,872
3769,3,4,4,3,25,17,5,937
3065,3,4,4,3,25,17,9,971
8625,3,4,4,3,25,17,19,1010
6336,3,4,4,3,25,17,25,1076
2700,3,4,4,4,23,11,4,748
444,3,4,4,4,23,11,1,701
5640,3,4,4,4,23,11,7,858
5155,3,4,4,4,23,11,8,964
4589,3,4,4,4,23,11,9,1008
5081,3,4,4,8,32,27,17,1686
1751,3,4,4,8,32,27,10,1723
12122,3,4,4,8,32,27,27,1803
4198,3,4,4,8,32,27,9,1870
4301,3,4,4,8,32,27,13,1872
2089,3,4,4,10,11,7,18,2133
6124,3,4,4,10,11,7,11,2315
40058,3,4,4,10,11,7,60,2617
38224,3,4,4,10,11,7,75,3017
14602,3,4,4,10,11,7,47,3187
3774,3,4,4,3,31,32,10,919
1494,3,4,4,3,31,32,2,935
2550,3,4,4,3,31,32,5,973
6047,3,4,4,3,31,32,14,1082
3660,3,4,4,3,31,32,21,1249
2236,3,4,4,10,16,28,8,1688
937,3,4,4,10,16,28,4,1586
4602,3,4,4,10,16,28,24,1656
4330,3,4,4,10,16,28,11,1688
13,3,4,4,10,16,28,3,1719
2691,3,4,4,12,18,10,11,1681
10600,3,4,4,12,18,10,28,2181
1633,3,4,4,12,18,10,6,2250
35961,3,4,4,12,18,10,81,2305
8440,3,4,4,12,18,10,24,2232
6112,2,8,3.8,2,31,30,12,855
2657,3,4,4,12,18,10,10,1874
10644,3,4,4,12,18,10,23,2166
1625,3,4,4,12,18,10,6,2163
38227,3,4,4,12,18,10,78,2244
8377,3,4,4,12,18,10,23,2071
2701,3,4,4,4,23,11,5,791
444,3,4,4,4,23,11,1,831
5640,3,4,4,4,23,11,9,875
4860,3,4,4,4,23,11,11,967
2968,3,4,4,4,23,11,12,1009
1328,3,4,4,3,8,23,4,1274
18900,3,4,4,3,8,23,24,1374
6614,3,4,4,3,8,23,16,1491
1331,3,4,4,3,8,23,10,1517
14808,3,4,4,3,8,23,17,1494
870,3,4,4,11,5,27,17,2062
31847,3,4,4,11,5,27,60,2445
4053,3,4,4,11,5,27,26,2603
13976,3,4,4,11,5,27,28,2468
35353,3,4,4,11,5,27,62,2652
1350,3,4,4,3,8,23,2,756
18919,3,4,4,3,8,23,26,957
6420,3,4,4,3,8,23,15,1023
888,3,4,4,3,8,23,3,1031
14523,3,4,4,3,8,23,21,1039
1938,2,8,3.8,4,10,29,6,1023
34502,2,8,3.8,4,10,29,56,1476
12410,2,8,3.8,4,10,29,28,1684
44527,2,8,3.8,4,10,29,84,1849
7679,2,8,3.8,4,10,29,19,1760
6522,2,8,3.8,4,10,29,13,1784
19638,2,8,3.8,4,10,29,32,1862
44641,2,8,3.8,4,10,29,74,1940
20050,2,8,3.8,4,10,29,35,2027
2512,2,8,3.8,4,10,29,8,2026
16383,2,8,3.8,4,10,29,34,2081
1248,3,4,4,6,7,8,12,1672
23024,3,4,4,6,7,8,23,1829
48378,3,4,4,6,7,8,56,2023
7454,3,4,4,6,7,8,23,2137
73337,3,4,4,6,7,8,73,2130
2207,3,4,4,7,27,26,8,1741
25679,3,4,4,7,27,26,9,1798
870,3,4,4,3,7,21,2,681
16854,3,4,4,3,7,21,24,891
10162,3,4,4,3,7,21,20,960
10154,3,4,4,3,7,21,18,936
12199,3,4,4,3,7,21,23,982
2059,3,4,4,7,18,15,7,1199
27304,3,4,4,7,18,15,43,1421
40356,3,4,4,7,18,15,59,1519
3386,3,4,4,7,18,15,10,1566
540,3,4,4,7,18,15,2,1491
3356,3,4,4,8,32,27,11,1204
1180,3,4,4,8,32,27,5,1217
8083,3,4,4,8,32,27,18,1300
2789,3,4,4,8,32,27,7,1305
2859,3,4,4,8,32,27,8,1311
3673,3,4,4,3,26,14,9,1338
4823,3,4,4,3,26,14,19,1438
4160,3,4,4,3,26,14,13,1515
4235,3,4,4,3,26,14,8,1481
4061,3,4,4,3,26,14,12,1526
1154,3,4,4,10,11,7,6,1292
3198,3,4,4,10,11,7,9,1342
27958,3,4,4,10,11,7,53,1665
29823,3,4,4,10,11,7,54,1875
8928,3,4,4,10,11,7,35,1949
2156,3,4,4,9,16,16,8,1452
7900,3,4,4,9,16,16,28,1801
1700,3,4,4,9,16,16,7,1833
66,3,4,4,9,16,16,2,1687
2038,3,4,4,9,16,16,5,1517
1895,3,4,4,4,9,27,11,1591
15630,3,4,4,4,9,27,30,1945
7539,3,4,4,4,9,27,27,2221
2058,3,4,4,4,9,27,10,2185
15804,3,4,4,4,9,27,24,2126
3496,3,4,4,3,24,20,8,1330
10403,3,4,4,3,24,20,17,1465
3948,3,4,4,3,24,20,17,1563
10184,3,4,4,3,24,20,13,1580
3521,3,4,4,3,24,20,9,1569
432,3,4,4,11,5,27,4,1196
22879,3,4,4,11,5,27,61,1571
1817,3,4,4,11,5,27,8,1572
7403,3,4,4,11,5,27,25,1559
25359,3,4,4,11,5,27,64,1579
1605,3,4,4,10,13,22,7,1525
551,3,4,4,10,13,22,2,1458
29814,3,4,4,10,13,22,56,1875
7704,3,4,4,10,13,22,20,1910
18240,3,4,4,10,13,22,36,1998
1003,3,4,4,7,7,10,3,1041
21636,3,4,4,7,7,10,34,1325
17698,3,4,4,7,7,10,30,1380
1087,3,4,4,7,7,10,4,1335
23933,3,4,4,7,7,10,38,1390
2430,3,4,4,6,17,12,7,1151
1427,3,4,4,6,17,12,3,1187
541,3,4,4,6,17,12,2,1292
913,3,4,4,6,17,12,3,1217
6668,3,4,4,6,17,12,9,1441
2612,3,4,4,12,18,10,15,2310
10537,3,4,4,12,18,10,23,2613
1742,3,4,4,12,18,10,12,2804
34158,3,4,4,12,18,10,64,2811
9133,3,4,4,12,18,10,39,2807
1613,3,4,4,10,13,22,7,1438
552,3,4,4,10,13,22,2,1383
30652,3,4,4,10,13,22,51,1854
7809,3,4,4,10,13,22,20,1872
18459,3,4,4,10,13,22,35,1986
2235,3,4,4,10,16,28,9,1503
932,3,4,4,10,16,28,4,1383
4654,3,4,4,10,16,28,23,1620
4312,3,4,4,10,16,28,10,1588
15,3,4,4,10,16,28,2,1683
2688,2,8,3.8,2,13,31,6,673
4424,2,8,3.8,2,13,31,16,871
6010,2,8,3.8,2,13,31,20,985
8670,2,8,3.8,2,13,31,86,1319
7417,2,8,3.8,2,13,31,93,1395
13541,2,8,3.8,2,13,31,45,1299
11494,2,8,3.8,2,13,31,33,1321
22239,2,8,3.8,2,13,31,47,1277
15422,2,8,3.8,2,13,31,42,1325
7907,2,8,3.8,2,13,31,34,1369
783,3,4,4,11,4,12,14,1942
21356,3,4,4,11,4,12,27,2363
24052,3,4,4,11,4,12,44,2432
14277,3,4,4,11,4,12,34,2443
10347,3,4,4,11,4,12,21,2447
1850,3,4,4,7,10,7,9,1857
12987,3,4,4,7,10,7,25,2182
17341,3,4,4,7,10,7,33,2473
23759,3,4,4,7,10,7,47,2594
8089,3,4,4,7,10,7,25,2638
4296,3,4,4,11,31,28,20,2059
3011,3,4,4,11,31,28,16,2170
4613,3,4,4,11,31,28,6,2140
44492,3,4,4,11,31,28,83,2650
5183,3,4,4,11,31,28,43,3053
4450,3,4,4,7,27,26,25,2060
13806,3,4,4,7,27,26,74,3009
4216,3,4,4,7,27,26,98,3850
2506,3,4,4,7,27,26,99,3736
2683,3,4,4,8,24,18,8,1169
4654,3,4,4,8,24,18,5,1313
4769,3,4,4,8,24,18,11,1415
7485,3,4,4,8,24,18,16,1486
3145,3,4,4,8,24,18,10,1499
1593,3,4,4,7,10,7,4,1191
10261,3,4,4,7,10,7,18,1386
13681,3,4,4,7,10,7,24,1501
19592,3,4,4,7,10,7,35,1543
5825,3,4,4,7,10,7,16,1550
3665,3,4,4,12,27,32,17,2018
4785,3,4,4,12,27,32,19,2260
3852,3,4,4,12,27,32,12,2383
1607,3,4,4,12,27,32,6,2349
2032,3,4,4,12,27,32,9,2110
894,3,4,4,5,11,13,2,761
54035,3,4,4,5,11,13,55,953
5150,3,4,4,5,11,13,11,1047
10347,3,4,4,5,11,13,17,1046
3380,3,4,4,5,11,13,6,1060
3653,3,4,4,12,27,6,24,2381
6120,3,4,4,12,27,6,18,2688
9574,3,4,4,12,27,6,24,2921
5570,3,4,4,12,27,6,20,3117
3849,3,4,4,12,27,6,16,3137
2181,3,4,4,9,16,16,9,1419
7671,3,4,4,9,16,16,31,1777
1808,3,4,4,9,16,16,7,1839
66,3,4,4,9,16,16,2,1713
2124,3,4,4,9,16,16,5,1533
395,3,4,4,11,4,12,4,1222
12075,3,4,4,11,4,12,30,1208
12588,3,4,4,11,4,12,34,1233
7120,3,4,4,11,4,12,19,1242
5168,3,4,4,11,4,12,15,1244
1086,3,4,4,5,12,26,3,769
5707,3,4,4,5,12,26,9,897
3373,3,4,4,5,12,26,8,850
5440,3,4,4,5,12,26,13,882
8668,3,4,4,5,12,26,19,913
3566,3,4,4,3,24,20,7,847
10738,3,4,4,3,24,20,22,1032
3628,3,4,4,3,24,20,20,1087
10259,3,4,4,3,24,20,24,1091
3513,3,4,4,3,24,20,7,1098
1243,3,4,4,6,10,13,4,1083
9825,3,4,4,6,10,13,20,1122
9082,3,4,4,6,10,13,18,1244
27249,3,4,4,6,10,13,52,1302
8741,3,4,4,6,10,13,20,1335
3363,3,4,4,3,26,14,7,782
4651,3,4,4,3,26,14,21,915
4024,3,4,4,3,26,14,7,914
3527,3,4,4,3,26,14,7,909
4111,3,4,4,3,26,14,14,967
2671,3,4,4,6,20,9,9,1164
1903,3,4,4,6,20,9,5,1095
5050,3,4,4,6,20,9,8,1350
1752,3,4,4,6,20,9,5,1359
5754,3,4,4,6,20,9,15,1429
2039,3,4,4,5,12,26,11,1578
11662,3,4,4,5,12,26,27,1900
8249,3,4,4,5,12,26,19,2031
13047,3,4,4,5,12,26,23,2020
19896,3,4,4,5,12,26,32,2049
1679,2,8,3.8,2,8,19,4,722
9075,2,8,3.8,2,8,19,14,879
14109,2,8,3.8,2,8,19,21,972
13450,2,8,3.8,2,8,19,19,978
2191,2,8,3.8,2,8,19,4,899
14244,2,8,3.8,2,8,19,24,1029
44031,2,8,3.8,2,8,19,59,1080
43009,2,8,3.8,2,8,19,62,1183
23452,2,8,3.8,2,8,19,37,1261
21363,2,8,3.8,2,8,19,32,1282
904,3,4,4,3,8,23,3,739
13567,3,4,4,3,8,23,25,875
5221,3,4,4,3,8,23,10,918
691,3,4,4,3,8,23,2,890
10700,3,4,4,3,8,23,20,930
1684,2,8,3.8,2,8,19,3,671
9073,2,8,3.8,2,8,19,13,815
13075,2,8,3.8,2,8,19,23,926
13189,2,8,3.8,2,8,19,19,929
2170,2,8,3.8,2,8,19,4,865
16577,2,8,3.8,2,8,19,22,995
44719,2,8,3.8,2,8,19,58,1040
44171,2,8,3.8,2,8,19,62,1145
23664,2,8,3.8,2,8,19,37,1214
20911,2,8,3.8,2,8,19,33,1230
4834,3,4,4,8,32,27,24,2110
1657,3,4,4,8,32,27,10,2108
11921,3,4,4,8,32,27,23,2311
4297,3,4,4,8,32,27,14,2347
4433,3,4,4,8,32,27,11,2352
3689,3,4,4,12,27,32,17,1909
4838,3,4,4,12,27,32,18,2206
3945,3,4,4,12,27,32,11,2394
1505,3,4,4,12,27,32,7,2394
2089,3,4,4,12,27,32,7,2253
2031,3,4,4,4,20,6,4,705
1794,3,4,4,4,20,6,3,793
5315,3,4,4,4,20,6,10,871
3841,3,4,4,4,20,6,7,892
2774,3,4,4,4,20,6,3,891
