% ARFF file
@relation stormSample

@attribute dataRate numeric
@attribute supervisors numeric
@attribute cpucores numeric
@attribute memory numeric
@attribute workers numeric
@attribute spouts numeric
@attribute bolts numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data

5805,2,8,3.8,6,16,8,11,1425,6240
23332,2,8,3.8,6,16,8,45,1935,7481
18781,2,8,3.8,6,16,8,37,2018,13417
14592,2,8,3.8,6,16,8,25,2075,16088
17229,2,8,3.8,6,16,8,35,2031,478
9294,2,8,3.8,6,16,8,19,1635,889
9205,2,8,3.8,6,16,8,14,1495,3064
38671,2,8,3.8,6,16,8,83,2194,9245
15862,2,8,3.8,6,16,8,31,2308,3178
14865,2,8,3.8,6,16,8,32,2264,267
3328,2,8,3.8,6,16,4,10,1468,490
6530,2,8,3.8,6,16,4,9,1758,10907
6181,2,8,3.8,6,16,4,17,1887,124
7861,2,8,3.8,6,16,4,22,1855,76
41978,2,8,3.8,6,16,4,72,1909,307
2993,2,8,3.8,6,16,4,10,1886,15
17326,2,8,3.8,6,16,4,32,1853,447
21287,2,8,3.8,6,16,4,41,1907,3721
6487,2,8,3.8,6,16,4,13,1801,377
1336,2,8,3.8,6,16,4,4,1603,1423
3506,2,8,3.8,6,16,16,11,1462,483
6918,2,8,3.8,6,16,16,14,1762,3355
16086,2,8,3.8,6,16,16,33,1954,14625
4697,2,8,3.8,6,16,16,12,1959,703
10949,2,8,3.8,6,16,16,25,1943,288
46378,2,8,3.8,6,16,16,89,2084,2662
6075,2,8,3.8,6,16,16,16,2218,578
30429,2,8,3.8,6,16,16,55,2254,3594
15566,2,8,3.8,6,16,16,38,2348,13304
2823,2,8,3.8,6,16,16,6,2300,2924
1686,2,8,3.8,6,8,4,6,1434,413
3914,2,8,3.8,6,8,4,10,1178,627
4936,2,8,3.8,6,8,4,10,1098,620
42012,2,8,3.8,6,8,4,83,1886,1691
40701,2,8,3.8,6,8,4,71,2080,3388
16226,2,8,3.8,6,8,4,30,2146,7540
36422,2,8,3.8,6,8,4,64,2157,1252
24759,2,8,3.8,6,8,4,46,2212,7641
29352,2,8,3.8,6,8,4,49,2265,4504
19251,2,8,3.8,6,8,4,39,2298,8210
1800,2,8,3.8,2,8,4,3,662,469
17023,2,8,3.8,2,8,4,25,926,8169
8096,2,8,3.8,2,8,4,13,955,916
6602,2,8,3.8,2,8,4,7,964,10301
16587,2,8,3.8,2,8,4,29,1002,6362
5719,2,8,3.8,2,8,4,9,1017,6998
10655,2,8,3.8,2,8,4,16,1037,7813
24786,2,8,3.8,2,8,4,37,1066,3740
46676,2,8,3.8,2,8,4,70,1136,1129
12247,2,8,3.8,2,8,4,21,1218,7340
849,2,8,3.8,2,4,4,2,728,447
29959,2,8,3.8,2,4,4,40,868,1987
18690,2,8,3.8,2,4,4,25,920,120
35067,2,8,3.8,2,4,4,47,979,753
11074,2,8,3.8,2,4,4,17,1016,163
670,2,8,3.8,2,4,4,1,977,2347
27535,2,8,3.8,2,4,4,29,1043,1727
38958,2,8,3.8,2,4,4,55,1071,1322
35110,2,8,3.8,2,4,4,48,1117,1955
32432,2,8,3.8,2,4,4,44,1158,1736
3310,2,8,3.8,4,16,16,9,1102,483
13641,2,8,3.8,4,16,16,28,1379,21316
19024,2,8,3.8,4,16,16,39,1534,8624
9831,2,8,3.8,4,16,16,20,1564,370
3690,2,8,3.8,4,16,16,7,1567,11156
40347,2,8,3.8,4,16,16,72,1584,1818
6469,2,8,3.8,4,16,16,14,1654,1098
1722,2,8,3.8,2,8,8,3,683,485
22881,2,8,3.8,2,8,8,31,935,3733
11826,2,8,3.8,2,8,8,17,1004,4885
28994,2,8,3.8,2,8,8,39,1044,3076
17608,2,8,3.8,2,8,8,24,1112,5665
40486,2,8,3.8,2,8,8,54,1147,1395
22115,2,8,3.8,2,8,8,29,1216,5704
12140,2,8,3.8,2,8,8,21,1245,4382
50975,2,8,3.8,2,8,8,65,1269,1265
12955,2,8,3.8,2,8,8,22,1315,4131
1727,2,8,3.8,2,8,8,3,651,477
24602,2,8,3.8,2,8,8,34,922,4647
10906,2,8,3.8,2,8,8,21,990,5072
27401,2,8,3.8,2,8,8,39,1036,2553
15155,2,8,3.8,2,8,8,24,1089,5106
38075,2,8,3.8,2,8,8,54,1125,1474
20404,2,8,3.8,2,8,8,28,1199,6429
12563,2,8,3.8,2,8,8,17,1224,4277
45260,2,8,3.8,2,8,8,66,1237,1333
13958,2,8,3.8,2,8,8,21,1287,5436
3524,2,8,3.8,4,16,8,8,1067,485
13161,2,8,3.8,4,16,8,24,1428,13006
14033,2,8,3.8,4,16,8,31,1512,21394
17240,2,8,3.8,4,16,8,31,1533,1830
39368,2,8,3.8,4,16,8,69,1685,3984
51729,2,8,3.8,4,16,8,84,1812,1826
6509,2,8,3.8,4,16,8,19,1900,16732
19956,2,8,3.8,4,16,8,46,1959,8586
13752,2,8,3.8,4,16,8,42,2021,12319
24821,2,8,3.8,4,16,8,44,2046,25823
5375,2,8,3.8,6,8,16,7,1473,1267
40016,2,8,3.8,6,8,16,77,1903,1209
15727,2,8,3.8,6,8,16,28,2021,171
34441,2,8,3.8,6,8,16,67,2026,3779
26167,2,8,3.8,6,8,16,51,2112,4501
23778,2,8,3.8,6,8,16,45,2143,149
38948,2,8,3.8,6,8,16,84,2137,2039
2944,2,8,3.8,6,8,16,6,2137,4237
24976,2,8,3.8,6,8,16,42,2173,4419
32486,2,8,3.8,6,8,16,53,2260,4104
15232,2,8,3.8,6,8,16,28,2275,4710
3344,2,8,3.8,4,16,16,9,1140,483
13025,2,8,3.8,4,16,16,29,1429,26436
16622,2,8,3.8,4,16,16,42,1581,8946
