% latency ARFF file
@relation stormLatency

@attribute supervisors numeric
@attribute cpucores numeric
@attribute memory numeric
@attribute workers numeric
@attribute spouts numeric
@attribute bolts numeric
@attribute latency numeric

@data

3,4,4,8,32,27,21326
3,4,4,5,10,32,12267
3,4,4,11,31,28,30203
3,4,4,7,13,5,7577
3,4,4,9,25,27,1563
3,4,4,6,31,15,1242
3,4,4,9,4,24,30
3,4,4,10,9,21,239
3,4,4,9,11,7,702
3,4,4,10,9,21,415
3,4,4,7,10,7,1459
3,4,4,4,20,6,6782
3,4,4,3,7,21,11817
3,4,4,3,25,17,989
3,4,4,4,31,7,1810
3,4,4,4,23,11,7
3,4,4,5,12,26,2955
3,4,4,8,4,10,46
3,4,4,10,15,23,4423
3,4,4,5,14,12,408
3,4,4,8,12,11,420
3,4,4,7,13,5,8233
3,4,4,7,7,14,7764
3,4,4,4,31,7,1665
3,4,4,4,9,27,2701
3,4,4,5,10,32,6711
3,4,4,11,5,27,55
3,4,4,8,19,23,2069
3,4,4,8,12,31,303
3,4,4,7,10,7,1482
3,4,4,8,32,27,12870
3,4,4,11,5,27,44
3,4,4,7,18,15,6878
3,4,4,3,8,23,8835
3,4,4,12,27,6,8435
3,4,4,7,27,26,25791
3,4,4,6,10,13,136
3,4,4,5,11,13,3851
3,4,4,10,19,4,11797
3,4,4,7,27,26,32006
3,4,4,9,4,24,32
3,4,4,7,7,18,994
3,4,4,10,15,23,3767
3,4,4,8,24,18,7
3,4,4,10,23,29,943
3,4,4,10,23,29,1653
3,4,4,7,18,15,6597
3,4,4,8,26,29,9389
3,4,4,8,24,18,14363
3,4,4,12,27,6,5031
3,4,4,5,10,32,6382
3,4,4,12,18,10,17463
3,4,4,10,11,7,12333
3,4,4,7,7,10,6482
3,4,4,10,11,18,95
3,4,4,10,9,21,378
3,4,4,12,27,32,3977
3,4,4,9,25,27,8
3,4,4,10,11,18,8
3,4,4,3,7,21,10124
3,4,4,5,28,5,4976
3,4,4,8,12,11,290
3,4,4,8,4,10,33
3,4,4,3,25,14,23789
3,4,4,12,27,28,7377
3,4,4,12,18,10,5869
3,4,4,11,7,23,75
3,4,4,12,17,10,228
3,4,4,3,8,23,6532
3,4,4,8,4,10,66
3,4,4,6,7,8,4549
3,4,4,8,24,18,4
3,4,4,10,23,29,802
3,4,4,3,31,32,39669
3,4,4,12,27,32,3851
3,4,4,6,10,13,153
3,4,4,7,16,9,3137
3,4,4,5,28,5,14
3,4,4,12,27,32,3977
3,4,4,5,28,5,10
3,4,4,5,14,12,2196
3,4,4,7,10,7,1576
3,4,4,6,7,8,4432
3,4,4,3,25,17,764
3,4,4,5,12,26,3561
3,4,4,9,9,9,362
3,4,4,7,16,9,3288
3,4,4,5,11,13,3762
3,4,4,7,13,14,13806
3,4,4,4,23,11,1334
3,4,4,3,24,20,15762
3,4,4,4,9,27,2910
3,4,4,11,31,28,36066
3,4,4,8,19,23,936
3,4,4,11,25,24,344
3,4,4,3,24,20,44071
3,4,4,12,16,22,480
3,4,4,7,13,14,12837
3,4,4,4,29,17,2374
3,4,4,10,19,4,27407
3,4,4,4,29,17,14
3,4,4,10,15,23,4498
3,4,4,12,27,6,8367
3,4,4,3,26,14,39169
3,4,4,9,9,9,349
3,4,4,6,20,9,3158
3,4,4,6,31,4,28336
3,4,4,12,16,22,468
3,4,4,8,10,25,893
3,4,4,3,26,14,16422
3,4,4,6,31,4,25107
3,4,4,7,25,24,1266
3,4,4,9,25,27,561
3,4,4,11,4,12,133
3,4,4,6,31,15,674
3,4,4,10,11,7,12361
3,4,4,12,27,28,65
3,4,4,7,13,5,7006
3,4,4,8,23,25,5058
3,4,4,3,31,32,38945
3,4,4,4,9,27,2953
3,4,4,8,10,25,979
3,4,4,7,7,18,851
3,4,4,10,16,28,784
3,4,4,7,27,26,29232
3,4,4,8,10,25,903
3,4,4,6,17,12,16790
3,4,4,9,11,7,671
3,4,4,11,7,23,74
3,4,4,10,16,28,978
3,4,4,11,4,12,156
3,4,4,8,12,31,247
3,4,4,5,11,13,4066
3,4,4,5,12,26,2724
3,4,4,10,11,18,800
3,4,4,7,7,18,921
3,4,4,4,23,11,16
3,4,4,12,18,10,11927
3,4,4,7,18,15,6844
3,4,4,4,29,17,985
3,4,4,8,23,25,7657
3,4,4,7,13,14,10482
3,4,4,9,16,16,222
3,4,4,3,31,32,300
3,4,4,7,25,24,1205
3,4,4,8,12,11,383
3,4,4,4,20,6,7549
3,4,4,8,26,29,8213
3,4,4,12,17,10,375
3,4,4,11,7,23,108
3,4,4,7,19,31,26183
3,4,4,5,14,12,9
3,4,4,3,26,14,9402
3,4,4,10,19,4,12910
3,4,4,8,32,27,9943
3,4,4,6,10,13,141
3,4,4,11,25,24,753
3,4,4,12,17,10,117
3,4,4,9,16,16,273
3,4,4,8,23,25,24011
3,4,4,9,11,7,716
3,4,4,3,8,23,5703
3,4,4,6,31,15,1464
3,4,4,11,25,24,18
3,4,4,7,25,24,2028
3,4,4,8,26,29,6663
3,4,4,9,9,9,362
3,4,4,6,31,4,41033
3,4,4,12,12,7,638
3,4,4,9,4,24,31
3,4,4,3,24,20,35564
3,4,4,12,27,28,5523
3,4,4,3,25,14,32746
3,4,4,10,16,28,1097
3,4,4,7,7,10,6698
3,4,4,7,16,9,3102
3,4,4,11,31,28,27593
3,4,4,6,23,19,3894
3,4,4,12,12,7,441
3,4,4,6,17,12,21281
3,4,4,7,19,31,40361
3,4,4,3,25,14,30006
3,4,4,7,19,31,10163
3,4,4,8,19,23,2389
3,4,4,10,11,7,11920
3,4,4,10,13,22,258
3,4,4,11,4,12,122
3,4,4,8,12,31,339
3,4,4,4,31,7,4154
3,4,4,3,7,21,13882
3,4,4,12,12,7,379
3,4,4,7,7,10,6869
3,4,4,6,20,9,1379
3,4,4,6,17,12,16647
3,4,4,12,16,22,531
3,4,4,7,7,14,6764
3,4,4,10,13,22,493
3,4,4,11,5,27,58
3,4,4,6,7,8,4552
3,4,4,7,7,14,7159
3,4,4,3,25,17,598
