% latency ARFF file
@relation stormLatency

@attribute supervisors numeric
@attribute cpucores numeric
@attribute memory numeric
@attribute workers numeric
@attribute spouts numeric
@attribute bolts numeric
@attribute latency {0,1}

@data

3,4,4,8,32,27,1
3,4,4,5,10,32,1
3,4,4,11,31,28,1
3,4,4,7,13,5,1
3,4,4,9,25,27,0
3,4,4,6,31,15,0
3,4,4,9,4,24,0
3,4,4,10,9,21,0
3,4,4,9,11,7,0
3,4,4,10,9,21,0
3,4,4,7,10,7,0
3,4,4,4,20,6,1
3,4,4,3,7,21,1
3,4,4,3,25,17,0
3,4,4,4,31,7,0
3,4,4,4,23,11,0
3,4,4,5,12,26,0
3,4,4,8,4,10,0
3,4,4,10,15,23,0
3,4,4,5,14,12,0
3,4,4,8,12,11,0
3,4,4,7,13,5,1
3,4,4,7,7,14,1
3,4,4,4,31,7,0
3,4,4,4,9,27,0
3,4,4,5,10,32,1
3,4,4,11,5,27,0
3,4,4,8,19,23,0
3,4,4,8,12,31,0
3,4,4,7,10,7,0
3,4,4,8,32,27,1
3,4,4,11,5,27,0
3,4,4,7,18,15,1
3,4,4,3,8,23,1
3,4,4,12,27,6,1
3,4,4,7,27,26,1
3,4,4,6,10,13,0
3,4,4,5,11,13,0
3,4,4,10,19,4,1
3,4,4,7,27,26,1
3,4,4,9,4,24,0
3,4,4,7,7,18,0
3,4,4,10,15,23,0
3,4,4,8,24,18,0
3,4,4,10,23,29,0
3,4,4,10,23,29,0
3,4,4,7,18,15,1
3,4,4,8,26,29,1
3,4,4,8,24,18,1
3,4,4,12,27,6,1
3,4,4,5,10,32,1
3,4,4,12,18,10,1
3,4,4,10,11,7,1
3,4,4,7,7,10,1
3,4,4,10,11,18,0
3,4,4,10,9,21,0
3,4,4,12,27,32,0
3,4,4,9,25,27,0
3,4,4,10,11,18,0
3,4,4,3,7,21,1
3,4,4,5,28,5,0
3,4,4,8,12,11,0
3,4,4,8,4,10,0
3,4,4,3,25,14,1
3,4,4,12,27,28,1
3,4,4,12,18,10,1
3,4,4,11,7,23,0
3,4,4,12,17,10,0
3,4,4,3,8,23,1
3,4,4,8,4,10,0
3,4,4,6,7,8,0
3,4,4,8,24,18,0
3,4,4,10,23,29,0
3,4,4,3,31,32,1
3,4,4,12,27,32,0
3,4,4,6,10,13,0
3,4,4,7,16,9,0
3,4,4,5,28,5,0
3,4,4,12,27,32,0
3,4,4,5,28,5,0
3,4,4,5,14,12,0
3,4,4,7,10,7,0
3,4,4,6,7,8,0
3,4,4,3,25,17,0
3,4,4,5,12,26,0
3,4,4,9,9,9,0
3,4,4,7,16,9,0
3,4,4,5,11,13,0
3,4,4,7,13,14,1
3,4,4,4,23,11,0
3,4,4,3,24,20,1
3,4,4,4,9,27,0
3,4,4,11,31,28,1
3,4,4,8,19,23,0
3,4,4,11,25,24,0
3,4,4,3,24,20,1
3,4,4,12,16,22,0
3,4,4,7,13,14,1
3,4,4,4,29,17,0
3,4,4,10,19,4,1
3,4,4,4,29,17,0
3,4,4,10,15,23,0
3,4,4,12,27,6,1
3,4,4,3,26,14,1
3,4,4,9,9,9,0
3,4,4,6,20,9,0
3,4,4,6,31,4,1
3,4,4,12,16,22,0
3,4,4,8,10,25,0
3,4,4,3,26,14,1
3,4,4,6,31,4,1
3,4,4,7,25,24,0
3,4,4,9,25,27,0
3,4,4,11,4,12,0
3,4,4,6,31,15,0
3,4,4,10,11,7,1
3,4,4,12,27,28,0
3,4,4,7,13,5,1
3,4,4,8,23,25,1
3,4,4,3,31,32,1
3,4,4,4,9,27,0
3,4,4,8,10,25,0
3,4,4,7,7,18,0
3,4,4,10,16,28,0
3,4,4,7,27,26,1
3,4,4,8,10,25,0
3,4,4,6,17,12,1
3,4,4,9,11,7,0
3,4,4,11,7,23,0
3,4,4,10,16,28,0
3,4,4,11,4,12,0
3,4,4,8,12,31,0
3,4,4,5,11,13,0
3,4,4,5,12,26,0
3,4,4,10,11,18,0
3,4,4,7,7,18,0
3,4,4,4,23,11,0
3,4,4,12,18,10,1
3,4,4,7,18,15,1
3,4,4,4,29,17,0
3,4,4,8,23,25,1
3,4,4,7,13,14,1
3,4,4,9,16,16,0
3,4,4,3,31,32,0
3,4,4,7,25,24,0
3,4,4,8,12,11,0
3,4,4,4,20,6,1
3,4,4,8,26,29,1
3,4,4,12,17,10,0
3,4,4,11,7,23,0
3,4,4,7,19,31,1
3,4,4,5,14,12,0
3,4,4,3,26,14,1
3,4,4,10,19,4,1
3,4,4,8,32,27,1
3,4,4,6,10,13,0
3,4,4,11,25,24,0
3,4,4,12,17,10,0
3,4,4,9,16,16,0
3,4,4,8,23,25,1
3,4,4,9,11,7,0
3,4,4,3,8,23,1
3,4,4,6,31,15,0
3,4,4,11,25,24,0
3,4,4,7,25,24,0
3,4,4,8,26,29,1
3,4,4,9,9,9,0
3,4,4,6,31,4,1
3,4,4,12,12,7,0
3,4,4,9,4,24,0
3,4,4,3,24,20,1
3,4,4,12,27,28,1
3,4,4,3,25,14,1
3,4,4,10,16,28,0
3,4,4,7,7,10,1
3,4,4,7,16,9,0
3,4,4,11,31,28,1
3,4,4,6,23,19,0
3,4,4,12,12,7,0
3,4,4,6,17,12,1
3,4,4,7,19,31,1
3,4,4,3,25,14,1
3,4,4,7,19,31,1
3,4,4,8,19,23,0
3,4,4,10,11,7,1
3,4,4,10,13,22,0
3,4,4,11,4,12,0
3,4,4,8,12,31,0
3,4,4,4,31,7,0
3,4,4,3,7,21,1
3,4,4,12,12,7,0
3,4,4,7,7,10,1
3,4,4,6,20,9,0
3,4,4,6,17,12,1
3,4,4,12,16,22,0
3,4,4,7,7,14,1
3,4,4,10,13,22,0
3,4,4,11,5,27,0
3,4,4,6,7,8,0
3,4,4,7,7,14,1
3,4,4,3,25,17,0
