% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data

243286,107466,244914,4,96,192,43,4,2,6,13,10,30,5,91,44714,1233
151212,66872,150369,4,96,192,94,4,2,14,13,23,95,19,93,82330,7849
25720,12307,24944,4,96,192,94,4,2,14,13,23,95,19,38,90089,682
44350,18504,44083,4,96,192,94,4,2,14,13,23,95,19,50,88924,652
65066,26927,64731,4,96,192,94,4,2,14,13,23,95,19,62,90202,624
84900,35129,84569,4,96,192,94,4,2,14,13,23,95,19,70,92212,636
20173,8010,20400,4,96,192,6,4,2,12,8,32,105,35,45,12533,60864
4360,2546,3063,4,96,192,6,4,2,12,8,32,105,35,8,12454,983
6179,2680,5614,4,96,192,6,4,2,12,8,32,105,35,4,12406,917
9337,3991,8746,4,96,192,6,4,2,12,8,32,105,35,5,12694,728
12294,5358,11655,4,96,192,6,4,2,12,8,32,105,35,8,12668,577
21991,8809,22914,4,96,192,5,4,2,30,32,21,117,13,48,11390,45534
3822,1601,3502,4,96,192,5,4,2,30,32,21,117,13,5,11270,959
7233,2792,7069,4,96,192,5,4,2,30,32,21,117,13,5,11313,598
10085,4001,9936,4,96,192,5,4,2,30,32,21,117,13,6,11524,466
13435,5587,13360,4,96,192,5,4,2,30,32,21,117,13,9,11514,398
183017,66577,201598,4,96,192,18,4,2,4,5,17,30,3,79,25114,4241
148789,65299,148618,4,96,192,93,4,2,21,7,27,66,22,92,80103,5851
25179,11912,24193,4,96,192,93,4,2,21,7,27,66,22,37,88476,740
42975,18343,42830,4,96,192,93,4,2,21,7,27,66,22,50,87571,699
63580,26621,63320,4,96,192,93,4,2,21,7,27,66,22,62,88802,690
82388,34473,82044,4,96,192,93,4,2,21,7,27,66,22,68,90612,689
108866,50923,107718,4,96,192,66,4,2,32,8,10,114,19,87,57190,6078
15843,7328,16213,4,96,192,66,4,2,32,8,10,114,19,24,58798,516
31855,13015,32491,4,96,192,66,4,2,32,8,10,114,19,35,57838,445
46889,19116,47694,4,96,192,66,4,2,32,8,10,114,19,45,57778,359
61067,24632,61817,4,96,192,66,4,2,32,8,10,114,19,53,58185,325
223418,79671,223832,4,96,192,62,4,2,21,8,26,33,11,92,62544,4917
33399,13857,32548,4,96,192,62,4,2,21,8,26,33,11,35,67115,678
60200,23641,60156,4,96,192,62,4,2,21,8,26,33,11,50,66881,624
84094,32419,83949,4,96,192,62,4,2,21,8,26,33,11,61,68003,613
108431,41747,108351,4,96,192,62,4,2,21,8,26,33,11,68,68811,617
188274,76173,188493,4,96,192,81,4,2,23,11,28,91,13,94,79186,6522
31497,12736,31038,4,96,192,81,4,2,23,11,28,91,13,42,85933,746
55948,20572,55890,4,96,192,81,4,2,23,11,28,91,13,55,86107,716
81706,30294,81433,4,96,192,81,4,2,23,11,28,91,13,67,88129,705
105223,38896,105108,4,96,192,81,4,2,23,11,28,91,13,73,89917,703
197381,97304,197552,4,96,192,57,4,2,21,16,4,60,6,89,48489,268
31511,13408,32116,4,96,192,57,4,2,21,16,4,60,6,32,51516,191
52041,22449,52699,4,96,192,57,4,2,21,16,4,60,6,44,50192,149
