% throughput ARFF file
@relation throughput

@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute throughput numeric

@data

4,96,192,15,4,2,28,26,16,35,5,240263
4,96,192,93,4,2,21,7,27,66,22,148618
4,96,192,91,4,2,4,22,27,105,35,170884
4,96,192,81,4,2,23,11,28,91,13,188493
4,96,192,70,4,2,15,32,19,90,9,181474
4,96,192,45,4,2,8,23,23,107,21,206592
4,96,192,21,4,2,24,21,6,90,9,173836
4,96,192,12,4,2,18,8,18,55,11,123600
4,96,192,90,4,2,30,29,10,112,14,179665
4,96,192,85,4,2,23,26,20,102,17,182577
4,96,192,39,4,2,27,23,31,56,14,244037
4,96,192,26,4,2,23,10,8,96,16,113636
4,96,192,49,4,2,4,16,14,99,11,137241
4,96,192,77,4,2,11,8,16,28,4,217458
4,96,192,85,4,2,14,17,4,110,22,161850
4,96,192,47,4,2,15,23,6,30,3,261491
4,96,192,37,4,2,23,28,20,72,18,241866
4,96,192,73,4,2,28,31,24,64,16,224813
4,96,192,9,4,2,12,20,12,96,16,67747
4,96,192,46,4,2,19,22,22,80,20,241040
4,96,192,62,4,2,26,10,32,64,8,121857
4,96,192,85,4,2,4,10,27,117,13,108270
4,96,192,67,4,2,17,19,9,36,6,242051
4,96,192,92,4,2,4,24,6,96,32,191670
4,96,192,67,4,2,22,7,17,104,13,110794
4,96,192,94,4,2,24,24,21,69,23,191215
4,96,192,84,4,2,22,15,31,120,15,178987
4,96,192,78,4,2,9,31,22,60,20,212870
4,96,192,28,4,2,13,31,22,66,22,239543
4,96,192,30,4,2,26,9,30,96,16,96943
4,96,192,72,4,2,5,14,5,105,21,182971
4,96,192,57,4,2,21,16,4,60,6,197552
4,96,192,72,4,2,12,26,4,70,10,196711
4,96,192,13,4,2,5,30,10,63,7,145594
4,96,192,79,4,2,16,7,24,51,10,161149
4,96,192,36,4,2,23,21,29,80,8,190694
4,96,192,41,4,2,28,21,26,52,13,256663
4,96,192,85,4,2,17,8,4,104,26,135254
4,96,192,52,4,2,17,30,32,114,19,224696
4,96,192,29,4,2,15,7,6,45,5,163167
4,96,192,43,4,2,25,22,21,50,10,243475
4,96,192,70,4,2,4,21,26,30,5,189125
4,96,192,79,4,2,27,31,12,110,11,202252
4,96,192,60,4,2,6,20,9,88,11,195872
4,96,192,34,4,2,26,11,26,60,15,221837
4,96,192,19,4,2,22,9,11,42,7,214691
4,96,192,12,4,2,32,5,17,76,19,83027
4,96,192,40,4,2,20,23,27,30,3,255781
4,96,192,35,4,2,8,6,28,108,12,88138
4,96,192,85,4,2,30,20,4,114,19,167183
4,96,192,73,4,2,6,19,12,117,39,191995
4,96,192,56,4,2,23,19,8,110,11,198504
4,96,192,79,4,2,15,22,7,43,5,187033
4,96,192,62,4,2,21,8,26,33,11,223832
4,96,192,5,4,2,30,32,21,117,13,22914
4,96,192,14,4,2,23,28,11,68,17,179619
4,96,192,35,4,2,7,31,11,96,32,241247
4,96,192,49,4,2,10,27,11,119,17,230102
4,96,192,47,4,2,20,11,5,110,11,127901
4,96,192,5,4,2,31,24,8,102,17,48814
4,96,192,54,4,2,6,31,20,84,12,215125
4,96,192,91,4,2,11,28,4,45,15,164059
4,96,192,70,4,2,22,15,12,40,5,186545
4,96,192,91,4,2,20,10,29,70,7,135189
4,96,192,55,4,2,11,26,22,79,8,200367
4,96,192,15,4,2,16,5,17,40,5,96347
4,96,192,39,4,2,23,25,29,60,6,227123
4,96,192,96,4,2,11,9,6,42,6,200677
4,96,192,43,4,2,6,13,10,30,5,244914
4,96,192,72,4,2,29,20,27,105,15,170190
